chromosome	start	stop	shell	core	TE_cov	low_depth	SNPs	recombRate	TEmatrixINS	TEmatrixABS	syntenic	Nonsyntenic	ShellRatio	NonsyntenicRatio
Bd1	0	2503999	109	219	0.0392688	0.322979	0.015766	7.547926337	8.40E-06	0.0082983	230	203	0.497716895	0.882608696
Bd1	2503999	5007998	108	217	0.0370547	0.1839757	0.015397	9.46486001	5.60E-06	0.0079621	293	133	0.497695853	0.453924915
Bd1	5007998	7511997	49	211	0.0353423	0.1278531	0.0144341	1.517572491	4.40E-06	0.0018023	274	91	0.232227488	0.332116788
Bd1	7511997	10015996	54	176	0.0588818	0.1072105	0.0155447	1.717253082	4.00E-06	0.0059732	234	87	0.306818182	0.371794872
Bd1	10015996	12519995	53	180	0.0910432	0.1433575	0.0168219	5.551120428	6.40E-06	0.0150507	185	115	0.294444444	0.621621622
Bd1	12519995	15023994	64	181	0.1517569	0.1369797	0.0149497	3.634186755	6.40E-06	0.0139661	200	131	0.35359116	0.655
Bd1	15023994	17527993	78	201	0.1229837	0.09076	0.014738	NA	5.60E-06	0.0011949	248	117	0.388059701	0.471774194
Bd1	17527993	20031992	82	180	0.10529	0.1770923	0.0159605	4.033547937	6.00E-06	0.0034605	226	129	0.455555556	0.57079646
Bd1	20031992	22535991	54	178	0.0885675	0.1429689	0.0179673	3.793931228	5.20E-06	0.0094213	213	104	0.303370787	0.488262911
Bd1	22535991	25039990	69	113	0.1841207	0.2194781	0.0204062	1.477636373	7.60E-06	0.0108726	104	138	0.610619469	1.326923077
Bd1	25039990	27543989	80	185	0.1102552	0.1540947	0.0173698	3.5143784	4.00E-06	0.0083119	194	142	0.432432432	0.731958763
Bd1	27543989	30047988	75	139	0.0959102	0.1805955	0.0165531	2.156550382	7.20E-06	0.0099928	160	126	0.539568345	0.7875
Bd1	30047988	32551987	53	144	0.1613523	0.1901219	0.0192217	4.353036882	9.60E-06	0.0173075	180	98	0.368055556	0.544444444
Bd1	32551987	35055986	66	111	0.1761898	0.1557217	0.0200563	2.276358737	6.80E-06	0.0094625	139	92	0.594594595	0.661870504
Bd1	37559985	40063984	41	50	0.3571439	0.301223	0.0161114	NA	1.28E-05	0.011784	48	69	0.82	1.4375
Bd1	40063984	42567983	52	102	0.2389522	0.2193947	0.0197033	1.717253082	7.60E-06	0.0222812	130	78	0.509803922	0.6
Bd1	42567983	45071982	60	117	0.15703	0.1723767	0.0183882	2.236422618	7.60E-06	0.0129808	163	98	0.512820513	0.601226994
Bd1	45071982	47575981	82	130	0.1568603	0.1492133	0.018518	5.07188701	6.00E-06	0.0118123	175	132	0.630769231	0.754285714
Bd1	47575981	50079980	81	149	0.136413	0.2644091	0.0194309	4.592653591	1.04E-05	0.0121502	204	132	0.543624161	0.647058824
Bd1	50079980	52583979	49	171	0.1401506	0.2100819	0.0191793	3.234825573	6.40E-06	0.0144237	176	112	0.286549708	0.636363636
Bd1	52583979	55087978	70	128	0.0915216	0.188423	0.0169437	2.1964865	8.00E-06	0.0069964	137	140	0.546875	1.02189781
Bd1	55087978	57591977	87	124	0.1198239	0.2979865	0.0205543	3.115017218	1.04E-05	0.0157073	147	153	0.701612903	1.040816327
Bd1	57591977	60095976	76	110	0.1927029	0.2246606	0.0177548	1.078275191	7.20E-06	0.0214976	140	125	0.690909091	0.892857143
Bd1	60095976	62599975	52	168	0.0838183	0.0986865	0.0163195	NA	3.20E-06	0.0081985	207	97	0.30952381	0.468599034
Bd1	62599975	65103974	48	196	0.0722037	0.1382329	0.015659	8.14696811	4.40E-06	0.0077169	246	73	0.244897959	0.296747967
Bd1	65103974	67607973	70	186	0.0556618	0.1058659	0.0150052	6.549523382	3.60E-06	0.0049113	257	100	0.376344086	0.389105058
Bd1	67607973	70111972	62	208	0.0508047	0.1530648	0.0138215	8.386584819	4.00E-06	0.0044617	246	116	0.298076923	0.471544715
Bd1	70111972	72615971	58	185	0.1137948	0.2190544	0.014512	NA	4.00E-06	0.0045815	230	125	0.313513514	0.543478261
Bd1	72615971	75119905	70	221	0.0350632	0.1836179	0.0141166	4.512898503	4.40E-06	0.0100007	269	142	0.316742081	0.527881041
Bd4	0	2568000	100	187	0.0438022	0.2846332	0.015685	9.151090343	5.80E-06	0.012118	209	180	0.534759358	0.861244019
Bd4	2568000	5136000	98	160	0.0295977	0.2976188	0.0190588	11.21495327	9.00E-06	0.012454	180	174	0.6125	0.966666667
Bd4	5136000	7704000	93	132	0.0792157	0.2036694	0.0213314	6.542056075	7.00E-06	0.0165697	150	157	0.704545455	1.046666667
Bd4	7704000	10272000	105	119	0.1475452	0.5938641	0.025699	3.232087227	1.48E-05	0.0359034	96	191	0.882352941	1.989583333
Bd4	10272000	12840000	100	77	0.1346764	0.4982414	0.0241379	2.492211838	1.48E-05	0.0334311	65	168	1.298701299	2.584615385
